Campaign_ID,Channel,Start_Date,Impressions,Clicks,Conversions,Cost,Revenue,Age_Group,Gender,Region,Engagement_Rate
C0001,Instagram Ads,2025-01-01 00:00:00,16795,533,424,3695.61,879.87,55+,Female,South USA,20.5
C0002,Facebook Ads,2025-01-01 01:00:00,1860,3771,458,7558.49,2063.57,55+,Male,West USA,27.13
C0003,Google Ads,2025-01-01 02:00:00,39158,3836,619,4422.45,2099.28,46-55,Male,North USA,13.52
C0004,Google Ads,2025-01-01 03:00:00,45732,4139,667,7859.44,5319.13,46-55,Male,West USA,24.94
C0005,Instagram Ads,2025-01-01 04:00:00,12284,2198,987,9763.9,4992.7,18-25,Male,East USA,31.28
C0006,Instagram Ads,2025-01-01 05:00:00,7265,3017,783,2436.42,14870.23,55+,Male,North USA,4.15
C0007,Twitter Ads,2025-01-01 06:00:00,17850,352,445,8630.3,11497.61,55+,Female,West USA,37.18
C0008,Facebook Ads,2025-01-01 07:00:00,38194,4934,561,6237.15,15303.12,36-45,Male,West USA,35.36
C0009,Email Campaign,2025-01-01 08:00:00,22962,1229,714,8182.08,1490.93,46-55,Female,North USA,44.03
C0010,Facebook Ads,2025-01-01 09:00:00,48191,3364,248,6533.28,9755.76,18-25,Female,West USA,21.35
C0011,Google Ads,2025-01-01 10:00:00,45131,401,51,4268.3,6543.13,36-45,Male,South USA,3.18
C0012,Email Campaign,2025-01-01 11:00:00,17023,2077,743,2319.35,17013.79,55+,Male,West USA,23.13
C0013,Facebook Ads,2025-01-01 12:00:00,42090,2863,717,746.85,14185.0,26-35,Male,East USA,6.97
C0014,Facebook Ads,2025-01-01 13:00:00,2685,4105,809,5378.41,17398.24,18-25,Male,South USA,32.41
C0015,Instagram Ads,2025-01-01 14:00:00,1769,3341,19,9903.74,1023.9,18-25,Female,West USA,2.45
C0016,Email Campaign,2025-01-01 15:00:00,3433,3157,756,7393.52,14444.39,36-45,Male,South USA,18.76
C0017,Google Ads,2025-01-01 16:00:00,6311,650,846,3307.09,10846.17,46-55,Male,East USA,4.23
C0018,Email Campaign,2025-01-01 17:00:00,38819,1687,274,8280.69,16517.5,36-45,Male,South USA,0.27
C0019,Twitter Ads,2025-01-01 18:00:00,40188,1922,590,7701.39,10192.5,26-35,Male,West USA,48.03
C0020,Facebook Ads,2025-01-01 19:00:00,18568,3317,454,2852.28,10850.16,55+,Female,West USA,49.81
C0021,Twitter Ads,2025-01-01 20:00:00,20769,3596,148,192.36,1130.17,55+,Male,East USA,27.82
C0022,Instagram Ads,2025-01-01 21:00:00,29693,4509,876,1225.72,13403.61,18-25,Male,East USA,12.02
C0023,Google Ads,2025-01-01 22:00:00,7396,4379,740,8779.2,5535.48,18-25,Female,West USA,45.56
C0024,Facebook Ads,2025-01-01 23:00:00,28480,812,205,8373.8,491.91,46-55,Female,South USA,46.16
C0025,Twitter Ads,2025-01-02 00:00:00,42434,2275,83,2987.33,1422.1,55+,Female,East USA,42.74
C0026,Google Ads,2025-01-02 01:00:00,26658,4172,624,2887.69,19149.98,36-45,Female,North USA,27.26
C0027,Facebook Ads,2025-01-02 02:00:00,19942,3949,234,7939.01,6986.94,55+,Male,South USA,3.83
C0028,Facebook Ads,2025-01-02 03:00:00,19431,2533,644,9380.49,17374.71,46-55,Female,North USA,4.51
C0029,Twitter Ads,2025-01-02 04:00:00,3747,3401,111,7802.42,19197.58,46-55,Female,South USA,44.84
C0030,Instagram Ads,2025-01-02 05:00:00,1189,370,273,6075.51,18871.02,36-45,Male,South USA,43.8
